,dept_abb,course_num,section,instructor_first_name,instructor_last_name,quarter,year,overall_ratings,content_ratings,contribution_ratings,effectiveness_ratings,interest_ratings,amount_learned_ratings,grading_ratings,user_email,user_password,would_take_again,homework_amount,user_country,user_city,is_recorded,teaching_style,participation_weight,level_of_group_work,exam_weight,ReportedCount,exam_difficulty,DateOfReview
37,AA,525.0,A,Mitsuru,Kurosaka,AU,18.0,2.5,3.5,3.0,2.5,4.0,2.5,4.0,eminence@yahoo.ca,heI=ngW+m1,21.75,2.66,United States,Bellevue,yes,group work focused,2.95,4.25,0.13,6,2.92,09/30/2018
38,AA,527.0,A,James,Hermanson,AU,18.0,3.75,3.75,4.08,4.0,4.64,4.0,4.0,agapow@comcast.net,u!yNoN0L8D,54.24,1.97,United States,Los Angeles,no,alternative resource heavy,2.12,0.97,1.16,12,3.71,09/30/2018
39,AA,528.0,A,Taylor,Reynolds,WI,19.0,3.5,4.3,4.17,3.93,4.0,4.1,3.17,facet@outlook.com,P7IVG7!Qs7,95.08,0.76,United States,San Francisco,yes,group work focused,2.11,2.0,3.19,10,4.27,01/31/2019
40,AA,529.0,A,Thomas,Jarboe,SP,19.0,3.0,3.0,3.5,2.5,3.83,2.5,3.5,mirod@me.com,RKd6sM4R7$,73.45,4.05,United States,Boston,no,online,4.16,0.89,1.65,4,3.6,05/26/2019
41,AA,530.0,A,Eli,Livne,AU,18.0,4.0,3.9,4.1,3.25,4.63,4.0,3.25,sinkou@optonline.net,7W2mN=^7M_,31.52,4.51,United States,San Francisco,no,group work focused,2.12,4.71,3.56,4,1.34,09/30/2018
42,AA,531.0,A,Marco,Salviato,SP,19.0,4.58,4.81,4.89,4.81,4.71,4.58,4.81,bartlett@optonline.net,5CXYVI021P,1.14,1.58,United States,Los Angeles,no,group work focused,1.23,4.38,3.69,15,3.11,05/26/2019
43,AA,532.0,A,Jinkyu,Yang,AU,18.0,4.59,4.59,4.65,4.65,4.76,4.53,4.36,smcnabb@outlook.com,3&~Bj1xu6+,22.89,1.13,United States,Bellevue,yes,problem based,4.38,2.99,4.23,12,3.54,09/30/2018
44,AA,535.0,A,Royan,Dmello,SP,19.0,3.67,3.63,4.13,3.88,4.6,3.67,4.25,jgoerzen@live.com,Y20?VZWpzK,74.02,4.53,United States,Issaquah,no,group work focused,4.43,2.13,2.04,5,3.74,05/26/2019
45,AA,540.0,A,Marco,Salviato,WI,19.0,4.72,4.74,4.83,4.63,4.66,4.77,4.54,miami@sbcglobal.net,M020gCEBHV,23.73,1.48,United States,Issaquah,no,group work focused,0.13,1.48,2.35,7,3.68,01/31/2019
46,AA,543.0,A,Antonino,Ferrante,SP,19.0,4.0,3.9,3.9,4.0,4.67,4.0,4.25,stellaau@verizon.net,UcqQ6&~0J8,98.79,2.95,United States,Issaquah,yes,powerpoint driven,4.44,1.19,1.94,15,3.22,05/26/2019
47,AA,545.0,A,Eric,Meier,SP,19.0,3.0,4.0,3.0,2.5,3.5,4.0,3.5,danny@yahoo.ca,v=~F00pyW6,95.83,2.87,United States,Seattle,yes,problem based,0.33,2.74,0.83,15,3.48,05/26/2019
48,AA,549.0,A,Daniel,Calderone,SP,19.0,4.18,4.29,4.09,4.04,4.32,4.17,4.2,pajas@att.net,mG+U5V$Ifo,79.56,1.97,United States,Boston,no,industry example based,1.7,4.09,0.79,4,2.71,05/26/2019
49,AA,549.0,A,Kristi,Morgansen,SP,19.0,4.28,4.5,4.0,4.28,4.25,4.5,4.3,hermes@verizon.net,5y6$nZU-5y,62.21,2.26,United States,San Francisco,no,group work focused,2.68,3.45,1.38,5,2.02,05/26/2019
50,AA,554.0,A,Eli,Livne,AU,18.0,4.67,4.67,4.88,4.67,4.67,4.67,4.67,muzzy@msn.com,1Dp6o4UqQh,98.56,1.2,United States,Bellevue,yes,industry example based,4.05,2.1,1.72,2,0.1,09/30/2018
51,AA,556.0,A,Justin,Little,WI,19.0,4.25,4.33,4.86,4.75,4.83,4.5,4.83,mirod@att.net,s7Dj$qitd1,70.21,3.37,United States,Seattle,yes,alternative resource heavy,1.33,0.76,0.61,14,2.06,01/31/2019
52,AA,560.0,A,Thomas,Jarboe,WI,19.0,3.5,3.5,3.83,3.17,4.25,4.0,3.0,jfriedl@msn.com,F2*WQIxBjH,84.7,0.67,United States,Boston,no,powerpoint driven,2.16,2.86,2.27,0,0.44,01/31/2019
53,AA,598.0,A,Owen,Williams,WI,19.0,4.75,4.75,4.75,4.75,4.75,4.75,4.75,andrei@verizon.net,3M9~t9fSEk,58.92,1.55,United States,Boston,no,alternative resource heavy,3.86,0.34,0.41,0,0.77,01/31/2019
54,AA,598.0,A,Eli,Livne,WI,19.0,4.0,4.0,4.0,3.5,4.0,3.5,3.5,fviegas@live.com,gL4df1s4s+,57.65,1.7,United States,Issaquah,no,group work focused,0.65,1.77,4.83,2,4.96,01/31/2019
55,AAB,200.0,A,Renee,Ha,AU,18.0,4.42,4.64,4.7,4.7,4.7,4.58,4.2,presoff@me.com,T95eUG%T8=,34.77,0.58,United States,Seattle,no,visual,2.53,4.2,0.63,0,3.9,09/30/2018
56,AAB,291.0,A,Renee,Ha,WI,19.0,4.43,4.31,4.31,4.57,4.2,4.25,4.0,mgemmons@gmail.com,KQ?z1t5-=g,45.8,2.43,United States,San Francisco,no,problem based,0.04,3.03,2.13,5,1.28,01/31/2019
57,AAB,291.0,A,Saethra,Fritscher,WI,19.0,4.5,4.38,4.0,4.0,3.92,4.06,3.8,evilopie@yahoo.ca,svgO~2iB=$,20.62,3.03,United States,San Francisco,yes,online,2.1,1.52,0.74,5,3.99,01/31/2019
58,AAB,292.0,A,Renee,Ha,SP,19.0,4.75,4.68,4.89,4.85,4.79,4.79,4.43,druschel@yahoo.ca,vEI&tRqXWs,68.4,4.72,United States,San Francisco,no,visual,0.15,3.76,0.79,6,2.0,05/26/2019
59,AAB,292.0,A,Saethra,Fritscher,SP,19.0,4.64,4.64,4.07,4.1,4.38,4.5,4.0,lahvak@me.com,T&eTh#2Ja=,4.7,0.48,United States,Boston,no,powerpoint driven,1.11,3.34,0.82,4,3.41,05/26/2019
60,AAS,101.0,A,Connie,So,SU,19.0,4.9,4.9,4.9,4.75,5.0,4.9,4.75,elflord@hotmail.com,RJal_FZ7&G,13.89,1.66,United States,Issaquah,yes,powerpoint driven,1.39,4.9,0.02,5,1.59,07/23/2019
61,AAS,101.0,A,Connie,So,SP,19.0,4.17,4.61,4.61,4.17,3.9,4.3,3.5,fmerges@yahoo.ca,w7d8d0Re$2,24.12,2.7,United States,Los Angeles,yes,group work focused,2.29,4.45,1.98,0,3.57,05/26/2019
62,AAS,206.0,A,Connie,So,WI,19.0,4.46,4.47,4.77,4.52,4.6,4.81,4.19,gavinls@live.com,9+Prhj81_z,43.63,4.39,United States,Boston,yes,group work focused,4.41,3.08,4.37,2,2.2,01/31/2019
63,AAS,210.0,A,Connie,So,SP,19.0,4.83,5.0,5.0,5.0,4.83,4.83,4.83,warrior@yahoo.ca,5vccxq27U&,73.49,3.84,United States,Boston,no,group work focused,4.85,3.29,1.43,11,1.46,05/26/2019
64,AAS,250.0,A,Linh,Nguyen,WI,19.0,4.0,4.17,4.19,4.31,4.5,4.1,3.77,ahuillet@sbcglobal.net,a~8s1=45Vp,48.39,4.04,United States,Bellevue,yes,problem based,3.78,2.39,3.16,6,4.02,01/31/2019
65,AAS,330.0,A,Jang,Huh,AU,18.0,4.83,4.72,4.96,4.89,4.93,4.83,4.87,fglock@yahoo.com,c+9*g-vRrA,98.4,0.86,United States,San Francisco,no,online,1.42,4.63,3.49,9,0.97,09/30/2018
66,AAS,350.0,A,Connie,So,WI,19.0,4.89,4.89,4.95,5.0,4.89,5.0,4.71,mpiotr@gmail.com,nRABf4ve77,27.17,3.62,United States,Portland,no,alternative resource heavy,0.98,3.33,0.99,15,1.29,01/31/2019
67,AAS,360.0,A,Rick,Bonus,AU,18.0,4.43,4.69,4.75,4.64,4.57,4.69,4.57,mastinfo@yahoo.ca,J0ao5Ke*4i,80.24,1.87,United States,Seattle,no,visual,4.41,0.0,1.54,5,4.23,09/30/2018
68,AAS,372.0,A,Vincent,Schleitwiler,WI,19.0,4.25,4.35,4.5,4.33,4.45,4.13,2.78,mirod@sbcglobal.net,5ESyzfF074,62.71,3.79,United States,San Francisco,no,group work focused,1.68,1.62,0.72,14,2.49,01/31/2019
69,AAS,392.0,A,Linh,Nguyen,AU,18.0,3.83,4.21,4.62,4.27,4.56,4.3,3.79,bolow@yahoo.com,cFH8muhZ@_,17.02,1.61,United States,Los Angeles,yes,online,2.31,0.65,2.92,13,1.69,09/30/2018
70,AAS,395.0,A,Connie,So,AU,18.0,4.56,4.56,4.75,4.67,4.67,4.75,4.13,itstatus@att.net,L=rHy=_O~v,19.53,2.73,United States,Boston,no,visual,1.74,4.68,2.54,6,0.07,09/30/2018
71,AAS,402.0,A,Jang,Huh,SP,19.0,4.86,4.91,4.93,4.9,4.88,4.7,4.93,gomor@gmail.com,yD_z68kAv1,80.92,4.96,United States,Portland,no,group work focused,2.27,2.81,3.98,13,3.12,05/26/2019
72,AAS,406.0,A,Moon-Ho,Jung,WI,19.0,4.56,4.72,4.89,4.84,4.77,4.75,4.25,hauma@aol.com,Xr7wg!fz-t,14.03,3.91,United States,San Francisco,no,group work focused,3.22,4.45,4.96,3,4.24,01/31/2019
73,AAS,498.0,A,Jang,Huh,WI,19.0,4.77,4.7,4.93,4.88,4.92,4.77,4.7,tlinden@yahoo.com,vV63M34xvB,54.34,1.87,United States,Boston,no,industry example based,2.35,1.31,3.45,1,4.36,01/31/2019
74,ACCTG,199.0,A,Peter,Demerjian,AU,18.0,4.83,4.77,4.97,4.97,4.88,4.88,4.88,ubergeeb@yahoo.ca,ss#W9F3F2e,78.55,0.71,United States,Los Angeles,no,powerpoint driven,2.83,4.0,3.84,2,2.87,09/30/2018
75,ACCTG,199.0,A,Izzy,Weber,SP,19.0,4.63,4.63,4.92,4.92,4.8,4.33,4.8,chrisj@att.net,U41S#HGZxe,2.37,1.72,United States,Bellevue,no,online,1.65,2.54,0.45,10,4.99,05/26/2019
76,ACCTG,199.0,A,Peter,Demerjian,WI,19.0,4.85,4.93,4.93,4.93,4.92,4.75,4.82,nimaclea@hotmail.com,O4D6MG#EG3,42.92,1.92,United States,Los Angeles,yes,industry example based,1.12,1.65,3.32,6,2.97,01/31/2019
77,ACCTG,215.0,A,Nancy,Pasternack,SU,19.0,4.64,4.42,4.64,4.71,4.71,4.4,4.55,shawnce@yahoo.ca,4R-NFHMQf*,27.05,3.27,United States,Issaquah,no,group work focused,2.3,1.9,3.56,10,2.4,07/23/2019
78,ACCTG,215.0,A,Peter,Demerjian,AU,18.0,4.15,4.01,4.54,4.44,4.39,4.16,3.84,chinthaka@optonline.net,EY=gpw1$El,0.01,0.31,United States,Boston,no,group work focused,4.31,0.96,4.91,7,2.71,09/30/2018
79,ACCTG,215.0,A,Izzy,Weber,SP,19.0,4.19,4.2,4.55,4.55,4.39,4.49,4.11,jfinke@icloud.com,3HKO!VCG$T,34.45,3.19,United States,Boston,no,powerpoint driven,0.97,0.81,4.47,3,3.07,05/26/2019
80,ACCTG,215.0,A,Peter,Demerjian,WI,19.0,4.36,4.34,4.75,4.75,4.58,4.44,4.18,dleconte@sbcglobal.net,1AcSUOhV23,27.74,4.07,United States,Seattle,no,group work focused,2.8,3.5,0.14,12,1.34,01/31/2019
81,ACCTG,215.0,AA,Nancy,Pasternack,SU,19.0,3.5,3.5,4.0,2.5,3.0,3.5,4.5,scarlet@sbcglobal.net,Q2XFrttE&p,46.39,4.02,United States,Issaquah,yes,group work focused,1.92,4.47,3.83,15,4.48,07/23/2019
82,ACCTG,215.0,AA,Nancy,Pasternack,AU,18.0,4.61,4.61,4.61,4.5,4.5,4.5,4.5,damian@aol.com,cwE+K6L?A!,81.29,3.67,United States,Portland,no,industry example based,3.59,2.92,1.9,8,0.52,09/30/2018
83,ACCTG,215.0,AB,Nancy,Pasternack,SU,19.0,4.64,4.75,4.64,4.75,4.67,4.3,4.67,kudra@live.com,Mq?iSpioEY,85.62,0.68,United States,Seattle,yes,industry example based,2.23,3.09,3.34,14,1.03,07/23/2019
84,ACCTG,215.0,AB,Nancy,Pasternack,AU,18.0,4.32,4.39,4.39,4.4,4.64,4.5,4.5,jpflip@att.net,a7cpA~Q2O3,0.5,4.48,United States,Boston,no,alternative resource heavy,4.82,3.21,4.81,6,3.05,09/30/2018
85,ACCTG,215.0,AC,Sarah,Hanan,AU,18.0,4.64,4.75,4.75,4.64,4.87,4.64,4.83,whimsy@yahoo.ca,Kx@U?0LL@$,19.46,4.69,United States,San Francisco,yes,online,4.81,0.36,1.21,4,0.77,09/30/2018
86,ACCTG,215.0,AC,Kelsey,Evenson,SP,19.0,4.42,4.43,4.42,4.28,4.5,4.36,4.61,grady@aol.com,mdXUd?Q%py,33.36,2.9,United States,Seattle,no,online,3.6,4.26,3.1,2,0.4,05/26/2019
87,ACCTG,215.0,AD,Sarah,Hanan,AU,18.0,4.67,4.54,4.67,4.54,4.44,4.61,4.81,jginspace@hotmail.com,Vt~@zdiVVi,23.68,4.21,United States,Portland,no,online,4.05,0.07,4.54,7,2.27,09/30/2018
88,ACCTG,215.0,AD,Kelsey,Evenson,SP,19.0,4.25,4.28,4.39,4.33,4.09,4.23,4.32,mrobshaw@me.com,W%+bZiT71j,36.73,3.21,United States,Los Angeles,yes,powerpoint driven,2.76,3.16,2.96,0,4.3,05/26/2019
89,ACCTG,215.0,B,Peter,Demerjian,AU,18.0,4.19,4.15,4.75,4.63,4.64,4.47,4.19,gastown@outlook.com,63?XY6#xj^,53.65,4.4,United States,Boston,no,online,4.55,4.41,2.86,7,1.62,09/30/2018
90,ACCTG,215.0,B,Izzy,Weber,SP,19.0,4.06,4.1,4.61,4.61,4.25,4.38,3.99,temmink@mac.com,bsSE#GoaS6,94.09,3.27,United States,Seattle,yes,group work focused,1.63,1.67,0.09,13,2.09,05/26/2019
91,ACCTG,215.0,B,Steve,Sefcik,WI,19.0,3.67,4.0,4.0,4.25,4.17,4.25,4.07,peterhoeg@hotmail.com,I5FBB36PKS,99.01,2.13,United States,Portland,no,online,4.59,1.57,4.12,14,3.33,01/31/2019
92,ACCTG,215.0,BA,Kiara,Wilson,AU,18.0,4.54,4.61,4.54,4.54,4.42,4.54,4.7,tokuhirom@yahoo.com,AO@2B9Le2s,9.98,2.67,United States,Boston,yes,online,2.52,3.69,4.24,12,3.59,09/30/2018
93,ACCTG,215.0,BA,Kiara,Wilson,SP,19.0,4.14,4.14,4.57,4.14,3.92,4.0,4.57,dmath@optonline.net,O5DdWm2%3A,58.8,2.95,United States,Issaquah,yes,online,4.29,0.94,3.48,14,4.56,05/26/2019
94,ACCTG,215.0,BA,Kiara,Wilson,WI,19.0,4.7,4.7,4.7,4.7,4.83,4.7,4.5,wayward@outlook.com,gi=jy1ze9g,36.47,2.42,United States,San Francisco,no,visual,2.46,1.75,0.19,0,1.14,01/31/2019
95,ACCTG,215.0,BB,Kiara,Wilson,AU,18.0,4.5,4.5,4.77,4.7,4.3,4.5,4.7,keijser@icloud.com,0JP5x35aUt,81.83,3.01,United States,Los Angeles,no,industry example based,4.06,2.81,4.48,7,1.01,09/30/2018
96,ACCTG,215.0,BB,Kiara,Wilson,SP,19.0,4.63,4.55,4.69,4.63,4.8,4.63,4.8,cgreuter@me.com,aug199H4hA,48.46,1.66,United States,Boston,yes,group work focused,1.24,3.97,4.0,8,1.39,05/26/2019
97,ACCTG,215.0,BB,Kiara,Wilson,WI,19.0,4.14,4.42,4.56,4.25,4.17,3.92,3.88,aschmitz@sbcglobal.net,QUk1UG651h,22.55,0.97,United States,Boston,no,industry example based,0.31,3.73,2.6,8,0.53,01/31/2019
98,ACCTG,215.0,BC,Mikhail,Alexeeff,SP,19.0,4.04,3.97,4.35,4.19,4.27,4.0,4.56,jorgb@yahoo.com,uab55ME27t,47.52,2.66,United States,Bellevue,yes,industry example based,1.75,3.11,4.53,14,0.56,05/26/2019
99,ACCTG,215.0,BD,Mikhail,Alexeeff,SP,19.0,4.5,4.38,4.7,4.61,4.5,4.38,4.5,marin@live.com,Pir_pT7#^J,5.16,2.82,United States,San Francisco,yes,online,4.12,4.35,1.11,9,3.38,05/26/2019
100,ACCTG,215.0,C,Izzy,Weber,AU,18.0,4.1,4.17,4.57,4.55,4.3,4.35,3.83,kohlis@live.com,jTyXFN#1B3,75.02,2.74,United States,San Francisco,yes,industry example based,2.28,2.06,3.35,6,3.73,09/30/2018
101,ACCTG,215.0,CA,Christina,Nichols,AU,18.0,4.32,4.41,4.78,4.82,4.67,4.61,4.88,gknauss@optonline.net,HI5vcFR2G@,38.11,4.27,United States,Bellevue,no,group work focused,4.96,3.86,4.55,5,0.14,09/30/2018
102,ACCTG,215.0,CB,Christina,Nichols,AU,18.0,4.5,4.67,4.83,4.79,4.79,4.73,4.91,muadip@yahoo.ca,hl~Ir$$TrB,96.07,0.87,United States,Boston,no,problem based,3.88,3.46,0.97,9,2.26,09/30/2018
103,ACCTG,215.0,CC,Christina,Nichols,AU,18.0,4.36,4.46,4.6,4.71,4.66,4.6,4.71,jcholewa@yahoo.ca,v3cmi9I-s?,91.5,3.95,United States,Boston,yes,visual,1.87,3.35,0.71,8,3.21,09/30/2018
104,ACCTG,215.0,CD,Christina,Nichols,AU,18.0,4.5,4.32,4.58,4.5,4.58,4.38,4.65,denton@me.com,9r~5tQ!NYc,28.83,3.02,United States,Boston,no,industry example based,2.82,4.19,2.92,4,0.27,09/30/2018
105,ACCTG,215.0,D,Christina,Nichols,SP,19.0,4.58,4.71,4.88,4.84,4.84,4.72,4.54,slanglois@icloud.com,7Kgh%FLq55,99.34,4.38,United States,Boston,yes,group work focused,4.15,0.88,3.5,9,2.29,05/26/2019
106,ACCTG,215.0,D,Steve,Sefcik,WI,19.0,4.0,4.25,4.57,4.0,4.13,4.57,4.0,catalog@outlook.com,F8=Q1WXyFb,93.7,0.74,United States,Boston,yes,group work focused,1.49,2.7,4.27,8,2.2,01/31/2019
